"human_ID"	"insect_ID.x"	"pident.x"	"pident.y"	"evalue.x"	"bitscore.x"	"bitscore.y"	"locus"	"species"
"NP_689597.1"	"XP_002432749.1"	58.754	58.754	4.22e-145	413	"413"	"BBS5"	"P. humanus"
"NP_689597.1"	"XP_039314617.1"	49.845	49.845	6.91e-109	321	"321"	"BBS5"	"S. invicta"
"NP_689597.1"	"XP_966616.1"	59.104	59.104	4.37e-146	415	"415"	"BBS5"	"T. castaneum"
"NP_789794.1"	"XP_320627.3"	45.553	45.418	0	607	"601"	"BBS7"	"A. gambiae"
"NP_789794.1"	"XP_016769147.2"	41.134	40.988	2.87e-168	500	"513"	"BBS7"	"A. mellifera"
"NP_789794.1"	"XP_008182853.1"	40.028	40.028	5.21e-175	518	"509"	"BBS7"	"A. pissum"
"NP_789794.1"	"XP_003403199.2"	41.134	40.837	3.3e-174	516	"512"	"BBS7"	"B. terrestris"
"NP_060660.2"	"XP_030036680.2"	27.837	27.685	3.75e-70	242	"231"	"BBS7"	"M. sexta"
"NP_789794.1"	"XP_001603197.1"	40.797	40.828	2.12e-176	522	"531"	"BBS7"	"N. vitripennis"
"NP_789794.1"	"XP_026825185.1"	40.802	40.387	3.14e-173	513	"509"	"BBS7"	"O. biroi"
"NP_789794.1"	"XP_002424262.1"	51.31	51.172	0	716	"706"	"BBS7"	"P. humanus"
"NP_789794.1"	"XP_025994810.2"	41.436	41.16	9.21e-176	520	"516"	"BBS7"	"S. invicta"
"NP_789794.1"	"XP_008192487.2"	48.122	48.122	0	660	"666"	"BBS7"	"T. castaneum"
"NP_653197.2"	"XP_319883.4"	40.708	40.708	6.21e-111	336	"336"	"BBS8"	"A. gambiae"
"NP_938051.1"	"XP_397338.3"	54.637	54.418	0	585	"602"	"BBS8"	"A. mellifera"
"NP_653197.2"	"XP_029346923.1"	47.391	47.391	9.83e-164	472	"472"	"BBS8"	"A. pissum"
"NP_938051.1"	"XP_048262654.1"	54.839	54.839	0	592	"608"	"BBS8"	"B. terrestris"
"NP_653197.2"	"NP_608524.1"	33.333	33.983	9.13e-72	238	"238"	"BBS8"	"D. melanogaster"
"NP_938052.1"	"XP_030037828.1"	33.741	33.741	4.48e-75	242	"242"	"BBS8"	"M. sexta"
"NP_938051.1"	"XP_001608003.2"	57.6	57.6	0	618	"618"	"BBS8"	"N. vitripennis"
"NP_938051.1"	"XP_011331189.1"	56.627	56.627	0	594	"610"	"BBS8"	"O. biroi"
"NP_938051.1"	"XP_002431516.1"	46.386	46.386	1.25e-173	497	"504"	"BBS8"	"P. humanus"
"NP_938051.1"	"XP_011175686.1"	56.627	56.627	0	601	"617"	"BBS8"	"S. invicta"
"NP_938051.1"	"XP_015839343.1"	48.472	48.472	2.22e-165	475	"475"	"BBS8"	"T. castaneum"
"NP_001028777.1"	"XP_316226.4"	30.055	29.837	1.65e-92	311	"312"	"BBS9"	"A. gambiae"
"NP_001028777.1"	"XP_026299493.1"	29.842	29.842	7.57e-93	322	"327"	"BBS9"	"A. mellifera"
"NP_001028777.1"	"XP_008188587.2"	29.052	29.052	1e-94	315	"315"	"BBS9"	"A. pissum"
"NP_001028777.1"	"XP_048265899.1"	31.007	31.007	9.15e-119	382	"382"	"BBS9"	"B. terrestris"
"NP_001028777.1"	"NP_001137727.2"	28.409	28.783	6.18e-90	306	"309"	"BBS9"	"D. melanogaster"
"NP_001028777.1"	"XP_030024756.1"	26.982	27.027	1.3e-79	275	"288"	"BBS9"	"M. sexta"
"NP_001028777.1"	"XP_031783660.1"	31.808	32.265	1.17e-127	405	"424"	"BBS9"	"N. vitripennis"
"NP_940820.1"	"XP_026823747.1"	32.105	32.224	1.98e-120	385	"396"	"BBS9"	"O. biroi"
"NP_001028777.1"	"XP_002427942.1"	30.918	30.918	1.83e-120	384	"399"	"BBS9"	"P. humanus"
"NP_940820.1"	"XP_025995392.1"	31.765	31.716	5.52e-118	379	"390"	"BBS9"	"S. invicta"
"NP_001028777.1"	"XP_008196466.2"	34.386	34.386	2.66e-153	471	"471"	"BBS9"	"T. castaneum"
"NP_078961.3"	"XP_307669.3"	22.222	0	3.57e-06	47.8	NA	"BBS10"	"A. gambiae"
"NP_078961.3"	"XP_026297640.1"	22.472	0	1.63e-05	48.5	NA	"BBS10"	"A. mellifera"
"NP_078961.3"	"XP_008180922.1"	21.795	0	1.36e-06	51.6	NA	"BBS10"	"A. pissum"
"NP_078961.3"	"XP_012165098.1"	19.56	0	1.03e-06	52.4	NA	"BBS10"	"B. terrestris"
"NP_078961.3"	"NP_523707.1"	25.51	0	9.85e-06	49.3	NA	"BBS10"	"D. melanogaster"
"NP_078961.3"	"XP_030020198.1"	27.16	0	1.41e-05	48.5	NA	"BBS10"	"M. sexta"
"NP_078961.3"	"NP_001136327.1"	20.455	0	7.7e-06	50.1	NA	"BBS10"	"N. vitripennis"
"NP_078961.3"	"XP_011333936.1"	23.232	0	8.24e-05	46.2	NA	"BBS10"	"O. biroi"
"NP_078961.3"	"XP_002429123.1"	17.824	0	9.12e-07	50.8	NA	"BBS10"	"P. humanus"
"NP_078961.3"	"XP_025987983.1"	27.381	0	1.76e-05	48.5	NA	"BBS10"	"S. invicta"
"NP_078961.3"	"XP_968355.1"	24.242	0	4.97e-06	50.1	NA	"BBS10"	"T. castaneum"
"NP_001171478.1"	"XP_312160.4"	20.69	0	0.001	41.6	NA	"BBS12"	"A. gambiae"
"NP_001171478.1"	"XP_030035453.2"	24	0	0.000635	43.1	NA	"BBS12"	"M. sexta"
"NP_001182234.1"	"XP_003436138.1"	55.319	55.319	1.99e-12	57	"57.4"	"BBS18"	"A. gambiae"
"NP_001182234.1"	"NP_001172015.1"	53.846	53.846	4.23e-12	56.6	"56.6"	"BBS18"	"A. mellifera"
"NP_001182234.1"	"NP_001163568.1"	41.667	41.071	3.9e-06	41.6	"42.7"	"BBS18"	"D. melanogaster"
"NP_001182234.1"	"XP_011343238.1"	57.692	57.692	7.64e-16	65.9	"65.9"	"BBS18"	"O. biroi"
"NP_001182234.1"	"XP_011155717.1"	51.923	51.923	3.21e-12	57	"57.0"	"BBS18"	"S. invicta"
"NP_001182234.1"	"NP_001171930.1"	60	60	5.91e-16	65.9	"65.9"	"BBS18"	"T. castaneum"
